域名,域名类型,到期日期,持有者,业务使用,ICP证,续费价格,备注
example.com,gTLD,2025-12-31,示例公司,公司官网,京ICP备12345678号,100元/年,核心域名
api.example.com,gTLD,2025-08-20,示例公司,API服务,京ICP备12345678号-1,100元/年,重要服务
test.cn,ccTLD,2025-06-30,测试部门,测试环境,无,50元/年,可评估价值
demo.net,gTLD,2025-03-15,市场部,产品演示,无,80元/年,营销使用
blog.example.com,gTLD,2025-09-10,内容部,公司博客,京ICP备12345678号-2,100元/年,内容平台
shop.example.com,gTLD,2025-07-20,电商部,在线商城,京ICP备12345678号-3,150元/年,核心业务
mail.example.com,gTLD,2025-11-15,IT部门,企业邮箱,无,80元/年,内部使用
cdn.example.com,gTLD,2025-04-25,技术部,CDN服务,无,120元/年,基础设施
old-site.com,gTLD,2025-02-28,IT部门,未使用,无,60元/年,历史域名
backup.example.net,gTLD,2025-10-10,IT部门,备份站点,无,70元/年,灾备使用
